# Created by:        SpecsLab Prodigy, Version 4.79.1-r98952 
#
# XY-Serializer Export Settings:
#   Comment Prefix:           #
#   Output Meta Data:         yes
#   Energy Axis:              Binding Energy
#   Count Rate:               Counts per Second
#   Separate Scan Data:       no
#   Separate Channel Data:    no
#   External Channel Data:    yes
#   Transmission Function:    no
#   Error Bar:                no
#   Operation Results:        yes
#   Time Zone Format:         UTC
#
# Group:                        Spectrum Group
#
# Region:                       Overall
# Spectrum ID:                  1
# Acquisition Date:             06/26/26 15:00:39 UTC
# Analysis Method:              XPS
# Analyzer:                     PHOIBOS MCD5 Analyzer
# Analyzer Lens:                LargeArea:1.5kV
# Analyzer Slit:                5:7x20\B:open
# Scan Mode:                    FixedAnalyzerTransmission
# Curves/Scan:                  1
# Values/Curve:                 1002
# Dwell Time:                   0.5
# Excitation Energy:            1253.64
# Binding Energy:               767.03
# Pass Energy:                  50
# Bias Voltage:                 90
# Detector Voltage:             3000
# Eff. Workfunction:            4.543
# Source:                       X-Ray Dummy
# Comment:                      
#
# Cycle: 0
# Number of Scans: 1
#
# Cycle: 0, Curve: 0
# Acquisition Date:             06/26/26 15:00:39 UTC
#
# ColumnLabels:                 energy counts/s
#
767.03  29233.479
766.031  28784.122
765.032  28522.105
764.033  28058.621
763.034  27701.934
762.035  27746.91
761.03599  27345.989
760.03699  26725.381
759.03799  26599.055
758.03899  26841.05
757.03999  27598.553
756.04099  28442.391
755.04199  29845.399
754.04299  31940.887
753.04399  34046.751
752.04499  35267.201
751.04598  35803.691
750.04698  35186.413
749.04798  33745.46
748.04898  32166.939
747.04998  31100.971
746.05098  29805.795
745.05198  28781.418
744.05298  28020.045
743.05398  27079.405
742.05498  26074.697
741.05597  24799.499
740.05697  23786.897
739.05797  22787.141
738.05897  21976.308
737.05997  21377.582
736.06097  21144.851
735.06197  20883.845
734.06297  20494.346
733.06397  20514.895
732.06497  20514.553
731.06596  20275.635
730.06696  20337.396
729.06796  20458.911
728.06896  20636.811
727.06996  20550.215
726.07096  20503.786
725.07196  20473.385
724.07296  20449.737
723.07396  20319.926
722.07496  20258.446
721.07595  20367.939
720.07695  20110.962
719.07795  20079.265
718.07895  20349.157
717.07995  20150.311
716.08095  20035.231
715.08195  20159.287
714.08295  20107.518
713.08395  20103.569
712.08495  20223.504
711.08594  20224.424
710.08694  20149.89
709.08794  19860.501
708.08894  19733.425
707.08994  19690.803
