filepath	label
data/Experiment 2026-06-26 Powder Co 3 Mo 12-Al2O3 450 For Joel.xy	Powder 3.0 12.0 450.0
data/Experiment 2026-07-22 Pellets Co 3.8 Mo 14 350C Al2O3 For Joel Post Au Evaporation.xy	Pellet 3.8 14.0 350.0
data/Experiment 2026-04-22 Powder CoMo-Al2O3 For Joel.xy	first powder
data/Experiment 2026-07-07 Powder Co 3.8 Mo 14-Al2O3 450 For Joel.xy	Powder 3.8 14.0 450.0
data/Experiment 2026-04-22_Commercial CoMo-Al2O3 For Joel.xy	first commercial
data/Experiment 2026-07-22 Pellets Co 3.8 Mo 14- 350C Al2O3 For Joel.xy	Pellet 3.8 14.0 350.0 no Au
data/Experiment 2026-04-22 Pellet CoMo-Al2O3 For Joel.xy	first pellet
data/Experiment 2026-07-22 Powder Co 3 Mo 12 350C Al2O3 For Joel Post Au Evaporation.xy	Powder 3.0 12.0 350.0
data/Experiment 2026-07-07 Pellets Co 3 Mo 12-Al2O3 450 For Joel.xy	Pellet 3.0 12.0 450.0
data/Experiment 2026-07-22 Powder Co 3 Mo 12 350C Al2O3 For Joel.xy	Powder 3.0 12.0 350.0 no Au
data/Experiment 2026-07-08 Al2O3 For Joel.xy	Al2O3
data/Experiment 2026-07-08 Pellets Co 3.8 Mo 14-Al2O3 450 For Joel .xy	Pellet 3.8 14.0 450.0
