# Created by:        SpecsLab Prodigy, Version 4.79.1-r98952 
#
# XY-Serializer Export Settings:
#   Comment Prefix:           #
#   Output Meta Data:         yes
#   Energy Axis:              Binding Energy
#   Count Rate:               Counts per Second
#   Separate Scan Data:       no
#   Separate Channel Data:    no
#   External Channel Data:    yes
#   Transmission Function:    no
#   Error Bar:                no
#   Operation Results:        yes
#   Time Zone Format:         UTC
#
# Group:                        Spectrum Group
#
# Region:                       Overall
# Spectrum ID:                  1
# Acquisition Date:             08/12/26 18:51:24 UTC
# Analysis Method:              XPS
# Analyzer:                     PHOIBOS MCD5 Analyzer
# Analyzer Lens:                LargeArea:1.5kV
# Analyzer Slit:                5:7x20\B:open
# Scan Mode:                    FixedAnalyzerTransmission
# Curves/Scan:                  1
# Values/Curve:                 1002
# Dwell Time:                   0.1
# Excitation Energy:            1253.64
# Binding Energy:               1000
# Pass Energy:                  50
# Bias Voltage:                 90
# Detector Voltage:             3000
# Eff. Workfunction:            4.543
# Source:                       X-Ray Dummy
# Comment:                      
#
# Cycle: 0
# Number of Scans: 1
#
# Cycle: 0, Curve: 0
# Acquisition Date:             08/12/26 18:51:24 UTC
#
# ColumnLabels:                 energy counts/s
#
1000  27305.935
999.001  28228.434
998.002  27706.135
997.003  27745.233
996.004  27487.388
995.005  27613.525
994.00599  27226.313
993.00699  27002.093
992.00799  27400.008
991.00899  27352.447
990.00999  27070.256
989.01099  26558.892
988.01199  25678.849
987.01299  24842.865
986.01399  24147.804
985.01499  23561.947
984.01598  22540.767
983.01698  22118.899
982.01798  21928.821
981.01898  21742.998
980.01998  21241.848
979.02098  20923.723
978.02198  21248.056
977.02298  21152.759
976.02398  21210.096
975.02498  21451.105
974.02597  21892.149
973.02697  21761.705
972.02797  21096.416
971.02897  21269.476
970.02997  21083.4
969.03097  21198.425
968.03197  21399.074
967.03297  21480.489
966.03397  21464.685
965.03497  21446.63
964.03596  20932.775
963.03696  21347.399
962.03796  21530.4
961.03896  21764.793
960.03996  21687.508
959.04096  21333.986
958.04196  21964.796
957.04296  21888.473
956.04396  21513.81
955.04496  21415.43
954.04595  21004.95
953.04695  20885.184
952.04795  21264.344
951.04895  21653.486
950.04995  20936.105
949.05095  21143.312
948.05195  22143.087
947.05295  21562.559
946.05395  21071.094
945.05495  21503.118
944.05594  22268.517
943.05694  22261.632
942.05794  21907.03
941.05894  21666.079
940.05994  21692.878
939.06094  22281.947
938.06194  21968.612
937.06294  21717.426
936.06394  21590.526
935.06494  21706.377
934.06593  21311.693
933.06693  21515.521
932.06793  22208.484
931.06893  21851.464
930.06993  21873.515
929.07093  22265.65
928.07193  22610.625
927.07293  22276.514
926.07393  22344.79
925.07493  22040.162
924.07592  21726.856
923.07692  21933.006
922.07792  21675.911
921.07892  21477.253
920.07992  21541.68
919.08092  21867.474
918.08192  22353.796
917.08292  22348.872
916.08392  22021.895
915.08492  22377.085
914.08591  23069.206
913.08691  22721.901
912.08791  22102.442
911.08891  22277.117
910.08991  22272.256
909.09091  22336.418
908.09191  22719.432
907.09291  23037.48
906.09391  22764.832
905.09491  21927.744
904.0959  22169.66
903.0969  22186.151
902.0979  22375.521
901.0989  22611.032
900.0999  22690.386
899.1009  22420.734
898.1019  22429.597
897.1029  22771.688
896.1039  23013.471
895.1049  22714.177
894.10589  23173.064
893.10689  23591.578
892.10789  23433.227
891.10889  23038.045
890.10989  22838.268
889.11089  22373.704
888.11189  22404.187
887.11289  23058.086
886.11389  22957.048
885.11489  23115.765
884.11588  23552.589
883.11688  23334.85
882.11788  23168.759
881.11888  23447.129
880.11988  22983.474
879.12088  22628.266
878.12188  23053.243
877.12288  23091.195
876.12388  23302.575
875.12488  23051.252
874.12587  22646.831
873.12687  22761.048
872.12787  23466.251
871.12887  23704.586
870.12987  23517.744
869.13087  23428.431
868.13187  23660.947
867.13287  23922.518
866.13387  23308.9
865.13487  23269.884
864.13586  23264.014
863.13686  23362.699
862.13786  23267.379
861.13886  23452.774
860.13986  23257.775
859.14086  23446.627
858.14186  23733.094
857.14286  23577.585
856.14386  23846.544
855.14486  23801.533
854.14585  23442.356
853.14685  23738.904
852.14785  23700.572
851.14885  23685.526
850.14985  23229.292
849.15085  23393.445
848.15185  23623.794
847.15285  23887.384
846.15385  24193.054
845.15485  24077.684
844.15584  23610.491
843.15684  23824.679
842.15784  23976.482
841.15884  23918.253
840.15984  24162.895
839.16084  24175.801
838.16184  23683.052
837.16284  23595.485
836.16384  23927.15
835.16484  23735.409
834.16583  23883.327
833.16683  24365.455
832.16783  24317.704
831.16883  24137.698
830.16983  23440.113
829.17083  24092.964
828.17183  24747.295
827.17283  24313.232
826.17383  24489.534
825.17483  24802.294
824.17582  24496.312
823.17682  23499.518
822.17782  23567.811
821.17882  23934.393
820.17982  24348.446
819.18082  24688.775
818.18182  25161.009
817.18282  25004.913
816.18382  24716.597
815.18482  24593.343
814.18581  24278.588
813.18681  24545.361
812.18781  24660.6
811.18881  24849.782
810.18981  24671.904
809.19081  25089.707
808.19181  25172.918
807.19281  24708.748
806.19381  24781.681
805.19481  24377.953
804.1958  24233.46
803.1968  24750.669
802.1978  25022.572
801.1988  25388.07
800.1998  24723.726
799.2008  24608.915
798.2018  25294.045
797.2028  25050.106
796.2038  24792.591
795.2048  25125.903
794.20579  25176.334
793.20679  25293.666
792.20779  25989.612
791.20879  25867.563
790.20979  25921.391
789.21079  25549.454
788.21179  25088.191
787.21279  24994.245
786.21379  25429.47
785.21479  25490.832
784.21578  24758.174
783.21678  24951.349
782.21778  25287.906
781.21878  25371.251
780.21978  25427.729
779.22078  24876.407
778.22178  24818.292
777.22278  25314.687
776.22378  25374.578
775.22478  24989.748
774.22577  25021.564
773.22677  25816.848
772.22777  25899.201
771.22877  25968.928
770.22977  25922.102
769.23077  26333.894
768.23177  26787.46
767.23277  26344.616
766.23377  25842.877
765.23477  25893.703
764.23576  25451.178
763.23676  25095.87
762.23776  24992.284
761.23876  24827.452
760.23976  24427.412
759.24076  24146.825
758.24176  23935.091
757.24276  23670.039
756.24376  24036.522
755.24476  23856.52
754.24575  24038.95
753.24675  23994.929
752.24775  24086.419
751.24875  24702.499
750.24975  26352.579
749.25075  27236.429
748.25175  27777.878
747.25275  28041.31
746.25375  28130.257
745.25475  27140.454
744.25574  26047.255
743.25674  25428.654
742.25774  24956.566
741.25874  24170.892
740.25974  23227.188
739.26074  22841.027
738.26174  21637.145
737.26274  20153.362
736.26374  18989.176
735.26474  18445.162
734.26573  18382.796
733.26673  18380.12
732.26773  17769.298
731.26873  17596.572
730.26973  17710.434
729.27073  17767.22
728.27173  17903.398
727.27273  17900.718
726.27373  17898.483
725.27473  17605.238
724.27572  17263.548
723.27672  17412.899
722.27772  17907.446
721.27872  17942.379
720.27972  17286.472
719.28072  17187.881
718.28172  17114.96
717.28272  17416.708
716.28372  17420.539
715.28472  17239.013
714.28571  17002.168
713.28671  17431.513
712.28771  17503.172
711.28871  17067.031
710.28971  16761.3
709.29071  17171.913
708.29171  17385.192
707.29271  17145.005
706.29371  16931.28
705.29471  16873.459
704.2957  17103.726
703.2967  17819.709
702.2977  17134.332
701.2987  16692.775
700.2997  16954.925
699.3007  17512.705
698.3017  17796.452
697.3027  17782.554
696.3037  17730.469
695.3047  17029.573
694.30569  17181.114
693.30669  17270.5
692.30769  17322.331
691.30869  17589.605
690.30969  17492.802
689.31069  16989.848
688.31169  16983.933
687.31269  17477.885
686.31369  17564.764
685.31469  17360.835
684.31568  17697.001
683.31668  17112.911
682.31768  17088.826
681.31868  16826.464
680.31968  16849.448
679.32068  17256.818
678.32168  17257.818
677.32268  17002.267
676.32368  17048.167
675.32468  17352.398
674.32567  17008.925
673.32667  17282.904
672.32767  17686.519
671.32867  17891.669
670.32967  17349.541
669.33067  17356.052
668.33167  17778.544
667.33267  17657.306
666.33367  17028.497
665.33467  16662.994
664.33566  16946.921
663.33666  17167.858
662.33766  17336.233
661.33866  17313.615
660.33966  17490.945
659.34066  17575.983
658.34166  17349.721
657.34266  17060.36
656.34366  17242.739
655.34466  17210.592
654.34565  17139.666
653.34665  17139.931
652.34765  17278.979
651.34865  17541.283
650.34965  17087.152
649.35065  17196.532
648.35165  17167.316
647.35265  16534.988
646.35365  17395.177
645.35465  17492.751
644.35564  17250.788
643.35664  17283.085
642.35764  17008.688
641.35864  17448.77
640.35964  17410.946
639.36064  16871.564
638.36164  17011.403
637.36264  17154.4
636.36364  17220.334
635.36464  17032.75
634.36563  16908.466
633.36663  17022.349
632.36763  16984.648
631.36863  17180.875
630.36963  17200.859
629.37063  17696.91
628.37163  17270.785
627.37263  16571.78
626.37363  16706.638
625.37463  16872.599
624.37562  16914.461
623.37662  16810.403
622.37762  17108.898
621.37862  16879.752
620.37962  16687.613
619.38062  16793.755
618.38162  17005.273
617.38262  17169.318
616.38362  17138.155
615.38462  16700.412
614.38561  16176.58
613.38661  16821.332
612.38761  17805.758
611.38861  17482.25
610.38961  16955.382
609.39061  17223.531
608.39161  17270.236
607.39261  17108.057
606.39361  17003.083
605.39461  16457.018
604.3956  16475.918
603.3966  16980.041
602.3976  16920.224
601.3986  17193.73
600.3996  17016.268
599.4006  16805.306
598.4016  16943.075
597.4026  17009.338
596.4036  17062.477
595.4046  16542.062
594.40559  16374.829
593.40659  16562.473
592.40759  16615.626
591.40859  16065.783
590.40959  15945.393
589.41059  16273.851
588.41159  16689.24
587.41259  16902.885
586.41359  16935.954
585.41459  16493.984
584.41558  16096.099
583.41658  16152.64
582.41758  16134.916
581.41858  16321.512
580.41958  16260.098
579.42058  16315.398
578.42158  16150.99
577.42258  16272.888
576.42358  16921.326
575.42458  16874.089
574.42557  16290.739
573.42657  16307.441
572.42757  16363.837
571.42857  16084.302
570.42957  15929.854
569.43057  15419.424
568.43157  15810.315
567.43257  15686.801
566.43357  15633.733
565.43457  16097.225
564.43556  15860.358
563.43656  15854.669
562.43756  16119.588
561.43856  16517.538
560.43956  16762.894
559.44056  17121.719
558.44156  17497.578
557.44256  17000.345
556.44356  16593.794
555.44456  16893.862
554.44555  16399.554
553.44655  15933.695
552.44755  16325.511
551.44855  16063.729
550.44955  15349.498
549.45055  15170.861
548.45155  14918.83
547.45255  14229.776
546.45355  13366.262
545.45455  13093.625
544.45554  13214.64
543.45654  12760.19
542.45754  12410.7
541.45854  11448.529
540.45954  11423.208
539.46054  11262.283
538.46154  11842.894
537.46254  14436.578
536.46354  20437.208
535.46454  31821.519
534.46553  37710.19
533.46653  31151.346
532.46753  19634.56
531.46853  13138.709
530.46953  10873.68
529.47053  10742.853
528.47153  11112.236
527.47253  11816.219
526.47353  12767.164
525.47453  13204.171
524.47552  12763.886
523.47652  11590.496
522.47752  10760.428
521.47852  10249.245
520.47952  9876.8819
519.48052  9992.3471
518.48152  9967.0868
517.48252  9911.1747
516.48352  9704.066
515.48452  9662.487
514.48551  10023.62
513.48651  10103.678
512.48751  10093.038
511.48851  10130.629
510.48951  9876.744
509.49051  9693.7932
508.49151  9572.579
507.49251  9866.0322
506.49351  9687.8133
505.49451  9321.0699
504.4955  9311.9689
503.4965  9397.8534
502.4975  9391.8703
501.4985  9534.8951
500.4995  9352.4909
499.5005  9376.5738
498.5015  9559.2367
497.5025  9533.4696
496.5035  9568.6762
495.5045  9380.756
494.50549  9274.9756
493.50649  9817.6873
492.50749  10276.205
491.50849  9991.5204
490.50949  9631.1507
489.51049  9663.3063
488.51149  9686.2907
487.51249  9533.4409
486.51349  9284.3903
485.51449  9371.263
484.51548  9709.4112
483.51648  9263.2547
482.51748  9410.1352
481.51848  9643.6173
480.51948  9177.3872
479.52048  9456.3178
478.52148  9451.7339
477.52248  8826.1272
476.52348  9411.3329
475.52448  9360.6252
474.52547  9125.5084
473.52647  9398.9407
472.52747  9544.8179
471.52847  9645.4435
470.52947  9643.7121
469.53047  9620.2193
468.53147  9671.2776
467.53247  9471.8179
466.53347  9525.2689
465.53447  9276.3449
464.53546  9403.4577
463.53646  9597.6979
462.53746  9457.1821
461.53846  9711.7111
460.53946  9585.3402
459.54046  9568.3391
458.54146  9470.8805
457.54246  9121.6272
456.54346  9314.787
455.54446  9376.3004
454.54545  9245.0613
453.54645  9677.758
452.54745  9741.6158
451.54845  9273.0967
450.54945  9406.4334
449.55045  9436.5264
448.55145  9230.2238
447.55245  9439.0896
446.55345  9452.2147
445.55445  9459.0589
444.55544  9755.9525
443.55644  9532.2594
442.55744  9265.579
441.55844  9470.3539
440.55944  9682.343
439.56044  9713.7211
438.56144  9549.6982
437.56244  9584.4855
436.56344  9398.8954
435.56444  9052.4781
434.56543  9155.5627
433.56643  9199.7268
432.56743  8887.9778
431.56843  9462.6315
430.56943  9858.5948
429.57043  9287.4299
428.57143  9376.8819
427.57243  9318.2038
426.57343  9287.6735
425.57443  9362.6148
424.57542  9470.0266
423.57642  9099.8013
422.57742  9206.5614
421.57842  9488.482
420.57942  9319.5496
419.58042  9183.1086
418.58142  9498.1698
417.58242  9425.7173
416.58342  9390.8583
415.58442  9543.2362
414.58541  9912.7973
413.58641  9257.7079
412.58741  9010.9405
411.58841  8834.6874
410.58941  8859.5636
409.59041  9465.3379
408.59141  9613.8642
407.59241  9508.9609
406.59341  9151.1098
405.59441  9047.3819
404.5954  9197.9478
