# Created by:        SpecsLab Prodigy, Version 4.79.1-r98952 
#
# XY-Serializer Export Settings:
#   Comment Prefix:           #
#   Output Meta Data:         yes
#   Energy Axis:              Binding Energy
#   Count Rate:               Counts per Second
#   Separate Scan Data:       no
#   Separate Channel Data:    no
#   External Channel Data:    yes
#   Transmission Function:    no
#   Error Bar:                no
#   Operation Results:        yes
#   Time Zone Format:         UTC
#
# Group:                        Spectrum Group
#
# Region:                       Overall
# Spectrum ID:                  1
# Acquisition Date:             08/07/26 14:05:51 UTC
# Analysis Method:              XPS
# Analyzer:                     PHOIBOS MCD5 Analyzer
# Analyzer Lens:                LargeArea:1.5kV
# Analyzer Slit:                5:7x20\B:open
# Scan Mode:                    FixedAnalyzerTransmission
# Curves/Scan:                  1
# Values/Curve:                 1002
# Dwell Time:                   0.1
# Excitation Energy:            1253.64
# Binding Energy:               1000
# Pass Energy:                  50
# Bias Voltage:                 90
# Detector Voltage:             3000
# Eff. Workfunction:            4.543
# Source:                       X-Ray Dummy
# Comment:                      
#
# Cycle: 0
# Number of Scans: 1
#
# Cycle: 0, Curve: 0
# Acquisition Date:             08/07/26 14:05:51 UTC
#
# ColumnLabels:                 energy counts/s
#
1000  25950.392
999.001  25640.736
998.002  26317.834
997.003  26830.614
996.004  26672.522
995.005  27290.336
994.00599  26900.133
993.00699  26635.672
992.00799  27005.167
991.00899  27007.347
990.00999  25806.685
989.01099  25210.633
988.01199  25243.284
987.01299  24012.782
986.01399  23650.103
985.01499  22401.954
984.01598  21582.882
983.01698  21300.437
982.01798  20415.641
981.01898  20695.106
980.01998  21158.823
979.02098  20245.959
978.02198  19783.859
977.02298  19818.611
976.02398  20117.173
975.02498  20541.032
974.02597  20721.174
973.02697  19942.608
972.02797  19330.704
971.02897  19726.015
970.02997  20569.568
969.03097  20411.815
968.03197  20422.734
967.03297  20312.152
966.03397  21023.475
965.03497  20876.606
964.03596  20540.91
963.03696  20902.159
962.03796  20335.716
961.03896  20264.127
960.03996  20751.921
959.04096  20592.837
958.04196  19917.375
957.04296  19809.592
956.04396  19944.52
955.04496  20098.015
954.04595  20258.177
953.04695  20213.034
952.04795  19987.671
951.04895  20181.78
950.04995  20524.848
949.05095  20305.752
948.05195  20658.542
947.05295  20208.002
946.05395  20918
945.05495  21114.388
944.05594  20466.484
943.05694  20504.52
942.05794  20346.242
941.05894  20410.537
940.05994  20845.484
939.06094  20451.703
938.06194  20242.054
937.06294  20576.802
936.06394  20497.566
935.06494  20414.921
934.06593  20589.076
933.06693  20192.259
932.06793  20489.035
931.06893  20868.958
930.06993  20930.256
929.07093  20581.886
928.07193  19759.817
927.07293  19497.357
926.07393  20471.383
925.07493  21138.745
924.07592  21104.757
923.07692  21437.108
922.07792  20871.465
921.07892  20773.664
920.07992  21058.76
919.08092  20947.452
918.08192  20846.095
917.08292  21099.749
916.08392  21444.113
915.08492  21369.089
914.08591  21104.2
913.08691  21302.222
912.08791  20878.937
911.08891  21024.696
910.08991  21079.558
909.09091  21415.874
908.09191  21149.817
907.09291  21123.75
906.09391  21188.684
905.09491  21183.294
904.0959  21017.276
903.0969  21448.876
902.0979  21220.996
901.0989  20762.354
900.0999  20843.962
899.1009  21433.474
898.1019  20941.959
897.1029  20567.697
896.1039  21289.161
895.1049  21601.355
894.10589  21442.875
893.10689  21410.805
892.10789  21133.867
891.10889  21461.098
890.10989  21965.887
889.11089  21641.196
888.11189  21364.624
887.11289  21963.697
886.11389  22195.204
885.11489  22207.361
884.11588  21869.774
883.11688  21981.416
882.11788  22137.06
881.11888  22099.053
880.11988  22309.315
879.12088  22185.193
878.12188  21930.63
877.12288  21592.985
876.12388  21933.833
875.12488  21904.258
874.12587  22226.668
873.12687  22807.777
872.12787  22353.661
871.12887  22563.408
870.12987  22304.854
869.13087  22375.722
868.13187  21986.885
867.13287  21722.823
866.13387  22238.728
865.13487  22844.58
864.13586  22277.119
863.13686  22241.795
862.13786  22176.649
861.13886  22565.631
860.13986  22337.378
859.14086  21976.429
858.14186  22037.891
857.14286  22048.432
856.14386  22448.252
855.14486  22577.877
854.14585  22725.603
853.14685  22763.826
852.14785  22045.157
851.14885  22051.464
850.14985  22247.727
849.15085  22704.349
848.15185  23000.603
847.15285  22585.02
846.15385  22587.909
845.15485  22623.465
844.15584  22302.483
843.15684  22499.627
842.15784  22807.209
841.15884  22971.491
840.15984  22992.924
839.16084  22804.409
838.16184  22777.343
837.16284  22772.7
836.16384  23186.372
835.16484  23006.241
834.16583  23268.498
833.16683  23568.959
832.16783  23370.235
831.16883  22300.622
830.16983  22142.351
829.17083  22246.576
828.17183  23115.512
827.17283  23703.279
826.17383  22818.356
825.17483  22877.955
824.17582  22813.586
823.17682  22688.059
822.17782  23003.738
821.17882  23036.181
820.17982  23429.835
819.18082  23286.816
818.18182  23139.301
817.18282  23356.126
816.18382  23283.809
815.18482  23351.12
814.18581  23312.462
813.18681  23557.472
812.18781  23794.536
811.18881  23631.378
810.18981  23414.975
809.19081  23603.971
808.19181  23426.683
807.19281  23467.423
806.19381  24042.083
805.19481  23494.469
804.1958  23835.19
803.1968  23897.755
802.1978  23540.781
801.1988  23724.16
800.1998  24476.026
799.2008  23716.383
798.2018  23580.926
797.2028  24154.43
796.2038  23544.952
795.2048  23222.299
794.20579  23340.348
793.20679  23957.786
792.20779  24045.075
791.20879  24434.966
790.20979  24144.235
789.21079  23845.107
788.21179  24626.035
787.21279  24724.928
786.21379  23943.506
785.21479  23816.616
784.21578  24179.039
783.21678  23739.267
782.21778  23835.609
781.21878  24170.078
780.21978  23902.453
779.22078  23894.788
778.22178  23521.24
777.22278  23072.432
776.22378  23832.417
775.22478  24509.304
774.22577  24659.136
773.22677  24357.921
772.22777  24379.303
771.22877  24329.718
770.22977  25331.652
769.23077  24823.043
768.23177  24172.196
767.23277  25137.699
766.23377  24580.462
765.23477  24768.189
764.23576  23963.426
763.23676  23825.791
762.23776  23679.438
761.23876  23102.37
760.23976  22750.732
759.24076  22798.348
758.24176  22522.945
757.24276  22588.19
756.24376  22896.461
755.24476  21836.268
754.24575  21460.104
753.24675  22555.718
752.24775  23515.076
751.24875  23332.06
750.24975  24230.727
749.25075  25119.033
748.25175  25727.629
747.25275  26354.496
746.25375  25821.381
745.25475  25585.838
744.25574  24846.478
743.25674  23792.531
742.25774  23124.513
741.25874  23433.2
740.25974  22557.125
739.26074  21555.215
738.26174  20630.433
737.26274  19753.641
736.26374  19266.328
735.26474  17933.674
734.26573  17313.871
733.26673  16861.857
732.26773  16959.11
731.26873  16860.583
730.26973  16712.259
729.27073  16850.343
728.27173  17133.229
727.27273  17170.488
726.27373  16720.173
725.27473  16628.602
724.27572  16760.83
723.27672  17058.383
722.27772  16792.898
721.27872  16699.798
720.27972  16919.733
719.28072  16995.246
718.28172  16946.698
717.28272  16991.067
716.28372  16463.269
715.28472  16500.235
714.28571  16802.038
713.28671  16704.203
712.28771  16577.076
711.28871  16483.63
710.28971  16618.024
709.29071  16521.827
708.29171  16210.022
707.29271  16560.78
706.29371  16634.389
705.29471  16028.718
704.2957  16241.354
703.2967  16362.038
702.2977  16396.039
701.2987  16459.315
700.2997  16721.263
699.3007  16717.734
698.3017  16480.855
697.3027  16099.694
696.3037  16515.784
695.3047  16711.565
694.30569  17058.711
693.30669  16689.553
692.30769  16537.439
691.30869  17050.795
690.30969  16710.556
689.31069  16776.355
688.31169  16648.26
687.31269  16580.065
686.31369  16864.342
685.31469  16570.096
684.31568  16366.471
683.31668  16236.999
682.31768  16353.333
681.31868  16286.457
680.31968  16201.649
679.32068  16828.876
678.32168  16804.101
677.32268  16731.242
676.32368  16326.963
675.32468  15959.992
674.32567  16317.151
673.32667  16408.095
672.32767  16720.308
671.32867  17324.913
670.32967  17262.103
669.33067  17018.665
668.33167  16577.772
667.33267  16216.8
666.33367  16698.867
665.33467  16454.996
664.33566  16313.106
663.33666  16641.086
662.33766  16592.809
661.33866  15958.173
660.33966  16006.166
659.34066  16447.436
658.34166  16750.373
657.34266  16433.562
656.34366  16713.578
655.34466  16855.279
654.34565  16559.015
653.34665  16803.02
652.34765  16685.414
651.34865  16323.829
650.34965  16279.146
649.35065  16611.434
648.35165  16756.447
647.35265  16519.298
646.35365  16685.248
645.35465  16138.945
644.35564  16045.187
643.35664  16374.099
642.35764  16074.759
641.35864  16409.311
640.35964  16727.372
639.36064  16430.826
638.36164  16557.94
637.36264  16254.549
636.36364  15987.004
635.36464  15977.569
634.36563  16049.666
633.36663  16108.97
632.36763  15937.585
631.36863  16321.288
630.36963  16378.258
