# Created by:        SpecsLab Prodigy, Version 4.79.1-r98952 
#
# XY-Serializer Export Settings:
#   Comment Prefix:           #
#   Output Meta Data:         yes
#   Energy Axis:              Binding Energy
#   Count Rate:               Counts per Second
#   Separate Scan Data:       no
#   Separate Channel Data:    no
#   External Channel Data:    yes
#   Transmission Function:    no
#   Error Bar:                no
#   Operation Results:        yes
#   Time Zone Format:         UTC
#
# Group:                        Spectrum Group
#
# Region:                       Overall
# Spectrum ID:                  1
# Acquisition Date:             08/07/26 13:28:10 UTC
# Analysis Method:              XPS
# Analyzer:                     PHOIBOS MCD5 Analyzer
# Analyzer Lens:                LargeArea:1.5kV
# Analyzer Slit:                5:7x20\B:open
# Scan Mode:                    FixedAnalyzerTransmission
# Curves/Scan:                  1
# Values/Curve:                 1002
# Dwell Time:                   0.1
# Excitation Energy:            1253.64
# Binding Energy:               1000
# Pass Energy:                  50
# Bias Voltage:                 90
# Detector Voltage:             3000
# Eff. Workfunction:            4.543
# Source:                       X-Ray Dummy
# Comment:                      
#
# Cycle: 0
# Number of Scans: 1
#
# Cycle: 0, Curve: 0
# Acquisition Date:             08/07/26 13:28:10 UTC
#
# ColumnLabels:                 energy counts/s
#
1000  21609.82
999.001  21983.492
998.002  22179.35
997.003  22485.663
996.004  22395.844
995.005  22212.266
994.00599  22170.176
993.00699  22516.802
992.00799  22056.865
991.00899  21831.6
990.00999  21567.089
989.01099  20868.978
988.01199  20469.76
987.01299  19948.893
986.01399  19276.779
985.01499  18641.608
984.01598  18073.356
983.01698  17723.114
982.01798  17407.746
981.01898  17495.786
980.01998  17239.322
979.02098  17199.738
978.02198  17304.016
977.02298  17105.91
976.02398  17455.347
975.02498  17314.758
974.02597  16954.465
973.02697  16542.925
972.02797  16949.356
971.02897  17206.867
970.02997  16317.783
969.03097  16287.592
968.03197  16738.322
967.03297  16904.45
966.03397  16984.063
965.03497  17345.237
964.03596  17464.149
963.03696  17955.393
962.03796  17769.917
961.03896  17651.633
960.03996  17122.102
959.04096  17389.127
958.04196  17172.672
957.04296  16920.402
956.04396  17210.555
955.04496  17349.685
954.04595  17430.665
953.04695  17731.22
952.04795  17899.806
951.04895  17669.373
950.04995  17854.361
949.05095  18210.593
948.05195  17816.625
947.05295  17293.794
946.05395  16973.703
945.05495  17406.778
944.05594  17404.905
943.05694  17387.999
942.05794  17287.842
941.05894  17114.131
940.05994  17382.766
939.06094  17719.682
938.06194  18017.579
937.06294  17967.06
936.06394  17781.293
935.06494  17407.349
934.06593  17789.962
933.06693  18327.146
932.06793  17535.78
931.06893  17359.189
930.06993  17570.981
929.07093  17442.009
928.07193  17628.371
927.07293  17778.612
926.07393  17875.433
925.07493  18020.666
924.07592  17775.599
923.07692  17638.158
922.07792  17688.836
921.07892  18114.409
920.07992  17940.649
919.08092  17467.02
918.08192  18079.902
917.08292  18816.439
916.08392  18499.028
915.08492  17750.355
914.08591  17987.145
913.08691  18158.645
912.08791  17743.088
911.08891  17774.33
910.08991  18096.863
909.09091  17973.14
908.09191  18093.218
907.09291  18435.393
906.09391  18353.42
905.09491  18670.055
904.0959  18832.303
903.0969  19009.418
902.0979  18501.929
901.0989  18344.945
900.0999  18196.342
899.1009  18045.393
898.1019  18236.166
897.1029  18544.22
896.1039  18161.914
895.1049  18123.983
894.10589  17819.55
893.10689  17537.111
892.10789  17866.261
891.10889  18191.417
890.10989  18641.267
889.11089  18734.596
888.11189  18848.754
887.11289  18865.741
886.11389  18393.411
885.11489  18070.139
884.11588  18197.093
883.11688  19035.34
882.11788  19236.913
881.11888  19013.677
880.11988  19171.247
879.12088  19442.31
878.12188  19230.42
877.12288  18720.35
876.12388  18674.482
875.12488  18479.375
874.12587  18307.741
873.12687  18533.948
872.12787  19067.066
871.12887  18655.592
870.12987  19162.269
869.13087  19580.309
868.13187  19092.576
867.13287  18991.615
866.13387  19263.873
865.13487  19406.665
864.13586  19729.556
863.13686  19282.151
862.13786  18960.573
861.13886  19291.19
860.13986  19442.163
859.14086  18749.813
858.14186  18808.695
857.14286  19270.938
856.14386  19830.659
855.14486  19843.67
854.14585  19831.515
853.14685  19532.512
852.14785  19383.936
851.14885  19433.949
850.14985  19684.313
849.15085  19301.111
848.15185  19020.715
847.15285  19192.631
846.15385  19898.127
845.15485  19845.543
844.15584  19644.828
843.15684  20034.747
842.15784  19934.932
841.15884  19814.712
840.15984  19842.832
839.16084  19761.967
838.16184  19430.574
837.16284  19415.816
836.16384  20058.342
835.16484  19930.67
834.16583  19938.655
833.16683  19566.597
832.16783  19638.372
831.16883  19634.051
830.16983  20137.91
829.17083  19883.273
828.17183  19045.798
827.17283  19680.284
826.17383  19793.909
825.17483  19655.709
824.17582  19394.82
823.17682  19600.637
822.17782  19818.208
821.17882  20166.243
820.17982  20497.093
819.18082  20127.208
818.18182  19938.038
817.18282  20002.09
816.18382  20126.418
815.18482  20578.346
814.18581  20597.795
813.18681  20460.256
812.18781  20724.867
811.18881  20526.931
810.18981  20074.882
809.19081  20510.235
808.19181  20449.627
807.19281  20200.062
806.19381  20213.067
805.19481  20337.186
804.1958  20306.135
803.1968  20391.941
802.1978  20458.943
801.1988  20775.383
800.1998  20747.469
799.2008  20613.404
798.2018  20609.836
797.2028  19987.428
796.2038  20094.02
795.2048  20470.4
794.20579  20720.314
793.20679  21006.339
792.20779  21225.379
791.20879  21133.537
790.20979  21259.629
789.21079  21285.41
788.21179  21070.3
787.21279  20342.935
786.21379  21038.516
785.21479  21078.809
784.21578  21234.521
783.21678  21005.093
782.21778  19930.41
781.21878  20419.653
780.21978  20465.491
779.22078  20570.078
778.22178  20515.985
777.22278  20387.278
776.22378  20938.782
775.22478  21410.246
774.22577  21328.486
773.22677  21161.861
772.22777  21746.596
771.22877  22591.862
770.22977  22187.048
769.23077  22069.284
768.23177  21925.602
767.23277  21771.6
766.23377  21339.025
765.23477  21506.55
764.23576  21527.858
763.23676  20815.976
762.23776  20684.267
761.23876  20652.896
760.23976  20192.283
759.24076  19710.474
758.24176  19735.946
757.24276  19834.567
756.24376  18871.098
755.24476  19190.892
754.24575  19420.838
753.24675  18965.805
752.24775  19916.769
751.24875  20731.395
750.24975  21396.919
749.25075  22147.221
748.25175  22647.323
747.25275  22830.02
746.25375  23099.101
745.25475  23048.285
744.25574  22400.545
743.25674  22255.197
742.25774  20927.801
741.25874  19797.467
740.25974  19455.329
739.26074  18861.595
738.26174  17737.167
737.26274  16991.542
736.26374  15802.594
735.26474  14747.997
734.26573  14476.417
733.26673  14168.224
732.26773  14525.096
731.26873  14188
730.26973  14189.171
729.27073  14489.388
728.27173  14265.755
727.27273  14413.271
726.27373  14238.142
725.27473  13770.994
724.27572  13985.208
723.27672  14170.198
722.27772  13806.435
721.27872  14038.603
720.27972  14231.639
719.28072  13702.053
718.28172  13577.719
717.28272  13997.753
716.28372  14102.762
715.28472  14053.156
714.28571  14247.534
713.28671  13881.586
712.28771  13804.302
711.28871  14315.978
710.28971  13979.089
709.29071  13642.655
708.29171  13956.307
707.29271  14107.506
706.29371  14325.132
705.29471  14142.74
704.2957  14184.495
703.2967  14271.726
702.2977  13957.033
701.2987  14498.217
700.2997  13949.746
699.3007  13678.35
698.3017  14011.43
697.3027  13924.594
696.3037  14127.226
695.3047  13697.64
694.30569  13899.792
693.30669  14429.493
692.30769  14250.507
691.30869  13795.626
690.30969  13669.228
689.31069  13496.178
688.31169  13920.093
687.31269  13735.908
686.31369  13587.761
685.31469  13571.785
684.31568  13660.724
683.31668  13938.185
682.31768  13868.102
681.31868  13599.625
680.31968  13564.68
679.32068  13478.311
678.32168  13437.866
677.32268  14000.724
676.32368  14033.973
675.32468  13852.889
674.32567  13978.877
673.32667  14036.963
672.32767  14382.421
671.32867  13996.117
670.32967  13608.468
669.33067  13892.844
668.33167  14125.766
667.33267  14174.476
666.33367  13851.123
665.33467  13827.031
664.33566  13991.431
663.33666  14152.181
662.33766  14392.057
661.33866  14242.21
660.33966  13764.839
659.34066  13883.725
658.34166  14037.049
657.34266  13786.236
656.34366  13186.279
655.34466  13591.122
654.34565  14047.699
653.34665  13888.753
652.34765  13838.434
651.34865  13736.397
650.34965  13918.8
649.35065  13877.306
648.35165  14018.704
647.35265  13799.199
646.35365  13149.794
645.35465  13431.999
644.35564  13811.093
643.35664  13755.14
642.35764  13700.323
641.35864  14070.782
640.35964  14102.41
639.36064  14046.437
638.36164  13717.637
637.36264  13879.117
636.36364  13833.501
635.36464  13531.592
634.36563  13782.131
633.36663  13461.413
632.36763  12951.098
631.36863  13448.329
630.36963  13822.832
629.37063  13505.237
628.37163  13755.6
627.37263  13943.091
626.37363  13663.689
625.37463  13552.782
624.37562  13708.989
623.37662  14064.054
622.37762  14332.14
