Element	Level	Kinetic Energy
Be	KLL	102.6
B	KLL	176.6
C	KLL	263.6
N	KLL	379.6
O	KLL	508.6
F	KLL	654.6
Ne	KLL	817.6
Na	KLL	993.6
Mg	KLL	1185.6
Al	LMM	67.6
Si	LMM	92.6
P	LMM	119.6
S	LMM	150.6
Cl	LMM	182.6
Ar	LMM	214.6
K	LMM	247.6
Ca	LMM	289.6
Sc	LMM	368.6
Ti	LMM	418.6
V	LMM	472.6
Cr	LMM	527.6
Mn	LMM	586.6
Fe	LMM	702.6
Co	LMM	773.6
Ni	LMM	845.6
Cu	LMM	918.64
Zn	LMM	991.6
Ga	LMM	1067.6
Ge	LMM	1144.6
As	LMM	1224.6
Se	LMM	1305.6
Rb	MMN	78.0
Zr	MNN	149.6
Nb	MNV	167.6
Mo	MNV	187.6
Tc	MNV	206.6
Tc	MNN	245.6
Ru	MNN	274.6
Rh	MNN	301.6
Pd	MNN	327.6
Ag	MNN	357.82
Cd	MNN	376.6
In	MNN	402.6
Sn	MNN	428.6
Sb	MNN	454.6
Te	MNN	481.6
I	MNN	504.6
Xe	MNN	531.6
Cs	MNN	568.6
Ba	MNN	600.6
La	MNN	632.6
Ce	MNN	653.6
Pr	MNN	689.6
Nd	MNN	728.6
Pm	MNN	772.6
Sm	MNN	804.6
Eu	MNN	849.6
Gd	MNN	884.6
Tb	MNV	1075.6
Dy	MNV	1118.6
Ho	MNV	1172.6
Er	MNV	1213.6
Tm	MNN	1088.6
Hf	NNN	180.6
Ta	NNN	180.6
W	NNN	179.6
Re	NNN	177.6
Os	NNN	175.6
Ir	NNN	172.6
Pt	NNN	169.6
Au	NNN	162.6
Au	NNO	239.6
Au	NOO	70.6
Hg	NNO	240.6
Hg	NOO	80.6
Tl	NNO	245.6
Tl	NOO	85.6
Tl	NOO	87.6
Pb	NOO	95.6
Bi	NOO	103.6
Th	NOV	67.6
Th	NOV	247.6
U	NOV	74.6
U	NOV	282.6
