"AtomicLevel.symbol";"AtomicLevel.level";"AtomicLevel.number";"BindingEnergy";"Reference"
"Li";"1s";3;55.600000000000001 eV;""
"Be";"1s";4;111.8 eV;""
"B";"1s";5;189.40000000000001 eV;""
"C";"1s";6;284.5 eV;""
"N";"1s";7;398.10000000000002 eV;""
"O";"1s";8;531 eV;""
"O";"2s";8;23 eV;""
"F";"1s";9;684.89999999999998 eV;""
"F";"2s";9;30 eV;""
"Ne";"1s";10;863.10000000000002 eV;""
"Ne";"2s";10;41 eV;""
"Ne";"2p";10;14 eV;""
"Na";"1s";11;1071.8 eV;""
"Na";"2s";11;64 eV;""
"Na";"2p";11;31 eV;""
"Mg";"1s";12;1303 eV;""
"Mg";"2s";12;89 eV;""
"Mg";"2p";12;49.799999999999997 eV;""
"Al";"2s";13;118 eV;""
"Al";"2p";13;72.900000000000006 eV;""
"Si";"2s";14;151 eV;""
"Si";"2p";14;99.299999999999997 eV;""
"Si";"2p1/2";14;100 eV;""
"Si";"2p3/2";14;99 eV;""
"P";"2s";15;188 eV;""
"P";"2p";15;130.30000000000001 eV;""
"P";"2p1/2";15;130.69999999999999 eV;""
"P";"2p3/2";15;129.90000000000001 eV;""
"P";"3s";15;14 eV;""
"S";"2s";16;228 eV;""
"S";"2p";16;164.59999999999999 eV;""
"S";"2p1/2";16;165.19999999999999 eV;""
"S";"2p3/2";16;164 eV;""
"S";"3s";16;18 eV;""
"Cl";"2s";17;271 eV;""
"Cl";"2p";17;199.30000000000001 eV;""
"Cl";"2p1/2";17;201.09999999999999 eV;""
"Cl";"2p3/2";17;198.5 eV;""
"Cl";"3s";17;17 eV;""
"Cl";"3p";17;6 eV;""
"Ar";"2s";18;320 eV;""
"Ar";"2p";18;243 eV;""
"Ar";"2p1/2";18;244 eV;""
"Ar";"2p3/2";18;241.90000000000001 eV;""
"Ar";"3s";18;24 eV;""
"K";"2s";19;380 eV;""
"K";"2p1/2";19;297.19999999999999 eV;""
"K";"2p3/2";19;294.39999999999998 eV;""
"K";"3s";19;35 eV;""
"K";"3p";19;19 eV;""
"Ca";"2s";20;440 eV;""
"Ca";"2p1/2";20;350.30000000000001 eV;""
"Ca";"2p3/2";20;346.69999999999999 eV;""
"Ca";"3s";20;45 eV;""
"Ca";"3p";20;26 eV;""
"Sc";"2s";21;499 eV;""
"Sc";"2p";21;401 eV;""
"Sc";"2p1/2";21;403.5 eV;""
"Sc";"2p3/2";21;398.60000000000002 eV;""
"Sc";"3s";21;51 eV;""
"Sc";"3p";21;29 eV;""
"Ti";"2s";22;561 eV;""
"Ti";"2p";22;457 eV;""
"Ti";"2p1/2";22;460.30000000000001 eV;""
"Ti";"2p3/2";22;454.10000000000002 eV;""
"Ti";"3s";22;59 eV;""
"Ti";"3p";22;33 eV;""
"V";"2s";23;626 eV;""
"V";"2p1/2";23;519.79999999999995 eV;""
"V";"2p3/2";23;512.20000000000005 eV;""
"V";"3s";23;66 eV;""
"V";"3p";23;37 eV;""
"Cr";"2s";24;696 eV;""
"Cr";"2p";24;579 eV;""
"Cr";"2p1/2";24;583.60000000000002 eV;""
"Cr";"2p3/2";24;574.39999999999998 eV;""
"Cr";"3s";24;75 eV;""
"Cr";"3p";24;43 eV;""
"Mn";"2s";25;769 eV;""
"Mn";"2p";25;644 eV;""
"Mn";"2p1/2";25;650 eV;""
"Mn";"2p3/2";25;639 eV;""
"Mn";"3s";25;83 eV;""
"Mn";"3p";25;48 eV;""
"Fe";"2s";26;845 eV;""
"Fe";"2p1/2";26;720.10000000000002 eV;""
"Fe";"2p3/2";26;707 eV;""
"Fe";"3s";26;92 eV;""
"Fe";"3p";26;53 eV;""
"Co";"2s";27;925 eV;""
"Co";"2p";27;785 eV;""
"Co";"2p1/2";27;793.29999999999995 eV;""
"Co";"2p3/2";27;778.29999999999995 eV;""
"Co";"3s";27;101 eV;""
"Co";"3p";27;60 eV;""
"Ni";"2s";28;1009 eV;""
"Ni";"2p";28;861 eV;""
"Ni";"2p1/2";28;870 eV;""
"Ni";"2p3/2";28;852.70000000000005 eV;""
"Ni";"3s";28;111 eV;""
"Ni";"3p";28;67 eV;""
"Cu";"2s";29;1097 eV;""
"Cu";"2p1/2";29;952.5 eV;""
"Cu";"2p3/2";29;932.66999999999996 eV;""
"Cu";"3s";29;123 eV;""
"Cu";"3p";29;76 eV;""
"Cu";"3p1/2";29;77 eV;""
"Cu";"3p3/2";29;75.140000000000001 eV;""
"Zn";"2s";30;1195 eV;""
"Zn";"2p1/2";30;1044.8 eV;""
"Zn";"2p3/2";30;1021.8 eV;""
"Zn";"3s";30;140 eV;""
"Zn";"3p1/2";30;91 eV;""
"Zn";"3p3/2";30;89 eV;""
"Zn";"3d";30;10 eV;""
"Ga";"2s";31;1301 eV;""
"Ga";"2p1/2";31;1143.5 eV;""
"Ga";"2p3/2";31;1116.7 eV;""
"Ga";"3s";31;160 eV;""
"Ga";"3p";31;106 eV;""
"Ga";"3p1/2";31;107 eV;""
"Ga";"3p3/2";31;104 eV;""
"Ga";"3d";31;19 eV;""
"Ge";"2p1/2";32;1248 eV;""
"Ge";"2p3/2";32;1217 eV;""
"Ge";"3s";32;181 eV;""
"Ge";"3p";32;124 eV;""
"Ge";"3p1/2";32;126 eV;""
"Ge";"3p3/2";32;122 eV;""
"Ge";"3d";32;29.399999999999999 eV;""
"Ge";"3d3/2";32;30 eV;""
"Ge";"3d5/2";32;29 eV;""
"As";"2p1/2";33;1359 eV;""
"As";"2p3/2";33;1324 eV;""
"As";"3s";33;205 eV;""
"As";"3p1/2";33;146 eV;""
"As";"3p3/2";33;141 eV;""
"As";"3d";33;42 eV;""
"As";"3d3/2";33;42.299999999999997 eV;""
"As";"3d5/2";33;41.600000000000001 eV;""
"Se";"3s";34;232 eV;""
"Se";"3p1/2";34;169 eV;""
"Se";"3p3/2";34;163 eV;""
"Se";"3d";34;56.100000000000001 eV;""
"Se";"3d3/2";34;56.5 eV;""
"Se";"3d5/2";34;55.600000000000001 eV;""
"Br";"3s";35;256 eV;""
"Br";"3p1/2";35;189 eV;""
"Br";"3p3/2";35;182 eV;""
"Br";"3d";35;69.299999999999997 eV;""
"Br";"3d3/2";35;69.900000000000006 eV;""
"Br";"3d5/2";35;68.799999999999997 eV;""
"Br";"4s";35;15 eV;""
"Br";"4p";35;5 eV;""
"Kr";"3s";36;287 eV;""
"Kr";"3p";36;212 eV;""
"Kr";"3p1/2";36;216 eV;""
"Kr";"3p3/2";36;208 eV;""
"Kr";"3d";36;87.799999999999997 eV;""
"Kr";"3d3/2";36;88.200000000000003 eV;""
"Kr";"3d5/2";36;87 eV;""
"Kr";"4s";36;21 eV;""
"Kr";"4p";36;8 eV;""
"Rb";"3s";37;325 eV;""
"Rb";"3p";37;244 eV;""
"Rb";"3p1/2";37;249 eV;""
"Rb";"3p3/2";37;240 eV;""
"Rb";"3d";37;112.3 eV;""
"Rb";"3d3/2";37;113 eV;""
"Rb";"3d5/2";37;111.5 eV;""
"Rb";"4s";37;31 eV;""
"Rb";"4p";37;16 eV;""
"Sr";"3s";38;360 eV;""
"Sr";"3p";38;273 eV;""
"Sr";"3p1/2";38;281 eV;""
"Sr";"3p3/2";38;270 eV;""
"Sr";"3d";38;135.19999999999999 eV;""
"Sr";"3d3/2";38;136.09999999999999 eV;""
"Sr";"3d5/2";38;134.30000000000001 eV;""
"Sr";"4s";38;39 eV;""
"Sr";"4p";38;21 eV;""
"Y";"3s";39;394 eV;""
"Y";"3p";39;305 eV;""
"Y";"3p1/2";39;311 eV;""
"Y";"3p3/2";39;299 eV;""
"Y";"3d";39;157 eV;""
"Y";"3d3/2";39;158.09999999999999 eV;""
"Y";"3d5/2";39;156 eV;""
"Y";"4s";39;45 eV;""
