Element	Level	Binding Energy
Li	1s	55.6
Be	1s	111.8
B	1s	189.4
C	1s	284.5
N	1s	398.1
O	1s	531.0
O	2s	23.0
F	1s	684.9
F	2s	30.0
Ne	1s	863.1
Ne	2s	41.0
Ne	2p	14.0
Na	1s	1071.8
Na	2s	64.0
Na	2p	31.0
Mg	1s	1303.0
Mg	2s	89.0
Mg	2p	49.8
Al	2s	118.0
Al	2p	72.9
Si	2s	151.0
Si	2p	99.3
Si	2p1/2	100.0
Si	2p3/2	99.0
P	2s	188.0
P	2p	130.3
P	2p1/2	130.7
P	2p3/2	129.9
P	3s	14.0
S	2s	228.0
S	2p	164.6
S	2p1/2	165.2
S	2p3/2	164.0
S	3s	18.0
Cl	2s	271.0
Cl	2p	199.3
Cl	2p1/2	201.1
Cl	2p3/2	198.5
Cl	3s	17.0
Cl	3p	6.0
Ar	2s	320.0
Ar	2p	243.0
Ar	2p1/2	244.0
Ar	2p3/2	241.9
Ar	3s	24.0
K	2s	380.0
K	2p1/2	297.2
K	2p3/2	294.4
K	3s	35.0
K	3p	19.0
Ca	2s	440.0
Ca	2p1/2	350.3
Ca	2p3/2	346.7
Ca	3s	45.0
Ca	3p	26.0
Sc	2s	499.0
Sc	2p	401.0
Sc	2p1/2	403.5
Sc	2p3/2	398.6
Sc	3s	51.0
Sc	3p	29.0
Ti	2s	561.0
Ti	2p	457.0
Ti	2p1/2	460.3
Ti	2p3/2	454.1
Ti	3s	59.0
Ti	3p	33.0
V	2s	626.0
V	2p1/2	519.8
V	2p3/2	512.2
V	3s	66.0
V	3p	37.0
Cr	2s	696.0
Cr	2p	579.0
Cr	2p1/2	583.6
Cr	2p3/2	574.4
Cr	3s	75.0
Cr	3p	43.0
Mn	2s	769.0
Mn	2p	644.0
Mn	2p1/2	650.0
Mn	2p3/2	639.0
Mn	3s	83.0
Mn	3p	48.0
Fe	2s	845.0
Fe	2p1/2	720.1
Fe	2p3/2	707.0
Fe	3s	92.0
Fe	3p	53.0
Co	2s	925.0
Co	2p	785.0
Co	2p1/2	793.3
Co	2p3/2	778.3
Co	3s	101.0
Co	3p	60.0
Ni	2s	1009.0
Ni	2p	861.0
Ni	2p1/2	870.0
Ni	2p3/2	852.7
Ni	3s	111.0
Ni	3p	67.0
Cu	2s	1097.0
Cu	2p1/2	952.5
Cu	2p3/2	932.67
Cu	3s	123.0
Cu	3p	76.0
Cu	3p1/2	77.0
Cu	3p3/2	75.14
Zn	2s	1195.0
Zn	2p1/2	1044.8
Zn	2p3/2	1021.8
Zn	3s	140.0
Zn	3p1/2	91.0
Zn	3p3/2	89.0
Zn	3d	10.0
Ga	2s	1301.0
Ga	2p1/2	1143.5
Ga	2p3/2	1116.7
Ga	3s	160.0
Ga	3p	106.0
Ga	3p1/2	107.0
Ga	3p3/2	104.0
Ga	3d	19.0
Ge	2p1/2	1248.0
Ge	2p3/2	1217.0
Ge	3s	181.0
Ge	3p	124.0
Ge	3p1/2	126.0
Ge	3p3/2	122.0
Ge	3d	29.4
Ge	3d3/2	30.0
Ge	3d5/2	29.0
As	2p1/2	1359.0
As	2p3/2	1324.0
As	3s	205.0
As	3p1/2	146.0
As	3p3/2	141.0
As	3d	42.0
As	3d3/2	42.3
As	3d5/2	41.6
Se	3s	232.0
Se	3p1/2	169.0
Se	3p3/2	163.0
Se	3d	56.1
Se	3d3/2	56.5
Se	3d5/2	55.6
Br	3s	256.0
Br	3p1/2	189.0
Br	3p3/2	182.0
Br	3d	69.3
Br	3d3/2	69.9
Br	3d5/2	68.8
Br	4s	15.0
Br	4p	5.0
Kr	3s	287.0
Kr	3p	212.0
Kr	3p1/2	216.0
Kr	3p3/2	208.0
Kr	3d	87.8
Kr	3d3/2	88.2
Kr	3d5/2	87.0
Kr	4s	21.0
Kr	4p	8.0
Rb	3s	325.0
Rb	3p	244.0
Rb	3p1/2	249.0
Rb	3p3/2	240.0
Rb	3d	112.3
Rb	3d3/2	113.0
Rb	3d5/2	111.5
Rb	4s	31.0
Rb	4p	16.0
Sr	3s	360.0
Sr	3p	273.0
Sr	3p1/2	281.0
Sr	3p3/2	270.0
Sr	3d	135.2
Sr	3d3/2	136.1
Sr	3d5/2	134.3
Sr	4s	39.0
Sr	4p	21.0
Y	3s	394.0
Y	3p	305.0
Y	3p1/2	311.0
Y	3p3/2	299.0
Y	3d	157.0
Y	3d3/2	158.1
Y	3d5/2	156.0
Y	4s	45.0
Y	4p	24.0
Zr	3s	430.0
Zr	3p1/2	343.0
Zr	3p3/2	330.0
Zr	3d	180.1
Zr	3d3/2	181.3
Zr	3d5/2	178.9
Zr	4s	51.0
Zr	4p	28.0
Nb	3s	467.0
Nb	3p1/2	376.0
Nb	3p3/2	361.0
Nb	3d	203.8
Nb	3d3/2	205.1
Nb	3d5/2	202.4
Nb	4s	56.0
Nb	4p	31.0
Mo	3s	506.0
Mo	3p1/2	412.0
Mo	3p3/2	394.0
Mo	3d	229.6
Mo	3d3/2	231.1
Mo	3d5/2	228.0
Mo	4s	63.0
Mo	4p	36.0
Tc	3s	544.0
Tc	3p1/2	445.0
Tc	3p3/2	425.0
Tc	3d3/2	257.0
Tc	3d5/2	253.0
Tc	4s	68.0
Tc	4p	39.0
Ru	3s	586.0
Ru	3p1/2	484.0
Ru	3p3/2	462.0
Ru	3d3/2	284.3
Ru	3d5/2	280.1
Ru	4s	75.0
Ru	4p	43.0
Rh	3s	629.0
Rh	3p1/2	521.0
Rh	3p3/2	497.0
Rh	3d3/2	311.9
Rh	3d5/2	307.2
Rh	4s	81.0
Rh	4p	48.0
Pd	3s	671.0
Pd	3p1/2	560.0
Pd	3p3/2	533.0
Pd	3d3/2	340.4
Pd	3d5/2	335.1
Pd	4s	88.0
Pd	4p	52.0
