"AtomicLevel.symbol";"AtomicLevel.level";"AtomicLevel.number";"KineticEnergy";"Reference"
"Be";"KLL";4;102.59999999999999 eV;""
"B";"KLL";5;176.59999999999999 eV;""
"C";"KLL";6;263.60000000000002 eV;""
"N";"KLL";7;379.60000000000002 eV;""
"O";"KLL";8;508.60000000000002 eV;""
"F";"KLL";9;654.60000000000002 eV;""
"Ne";"KLL";10;817.60000000000002 eV;""
"Na";"KLL";11;993.60000000000002 eV;""
"Mg";"KLL";12;1185.5999999999999 eV;""
"Al";"LMM";13;67.599999999999994 eV;""
"Si";"LMM";14;92.599999999999994 eV;""
"P";"LMM";15;119.59999999999999 eV;""
"S";"LMM";16;150.59999999999999 eV;""
"Cl";"LMM";17;182.59999999999999 eV;""
"Ar";"LMM";18;214.59999999999999 eV;""
"K";"LMM";19;247.59999999999999 eV;""
"Ca";"LMM";20;289.60000000000002 eV;""
"Sc";"LMM";21;368.60000000000002 eV;""
"Ti";"LMM";22;418.60000000000002 eV;""
"V";"LMM";23;472.60000000000002 eV;""
"Cr";"LMM";24;527.60000000000002 eV;""
"Mn";"LMM";25;586.60000000000002 eV;""
"Fe";"LMM";26;702.60000000000002 eV;""
"Co";"LMM";27;773.60000000000002 eV;""
"Ni";"LMM";28;845.60000000000002 eV;""
"Cu";"LMM";29;918.63999999999999 eV;""
"Zn";"LMM";30;991.60000000000002 eV;""
"Ga";"LMM";31;1067.5999999999999 eV;""
"Ge";"LMM";32;1144.5999999999999 eV;""
"As";"LMM";33;1224.5999999999999 eV;""
"Se";"LMM";34;1305.5999999999999 eV;""
"Rb";"MMN";37;78 eV;""
"Zr";"MNN";40;149.59999999999999 eV;""
"Nb";"MNV";41;167.59999999999999 eV;""
"Mo";"MNV";42;187.59999999999999 eV;""
"Tc";"MNV";43;206.59999999999999 eV;""
"Tc";"MNN";43;245.59999999999999 eV;""
"Ru";"MNN";44;274.60000000000002 eV;""
"Rh";"MNN";45;301.60000000000002 eV;""
"Pd";"MNN";46;327.60000000000002 eV;""
"Ag";"MNN";47;357.81999999999999 eV;""
"Cd";"MNN";48;376.60000000000002 eV;""
"In";"MNN";49;402.60000000000002 eV;""
"Sn";"MNN";50;428.60000000000002 eV;""
"Sb";"MNN";51;454.60000000000002 eV;""
"Te";"MNN";52;481.60000000000002 eV;""
"I";"MNN";53;504.60000000000002 eV;""
"Xe";"MNN";54;531.60000000000002 eV;""
"Cs";"MNN";55;568.60000000000002 eV;""
"Ba";"MNN";56;600.60000000000002 eV;""
"La";"MNN";57;632.60000000000002 eV;""
"Ce";"MNN";58;653.60000000000002 eV;""
"Pr";"MNN";59;689.60000000000002 eV;""
"Nd";"MNN";60;728.60000000000002 eV;""
"Pm";"MNN";61;772.60000000000002 eV;""
"Sm";"MNN";62;804.60000000000002 eV;""
"Eu";"MNN";63;849.60000000000002 eV;""
"Gd";"MNN";64;884.60000000000002 eV;""
"Tb";"MNV";65;1075.5999999999999 eV;""
"Dy";"MNV";66;1118.5999999999999 eV;""
"Ho";"MNV";67;1172.5999999999999 eV;""
"Er";"MNV";68;1213.5999999999999 eV;""
"Tm";"MNN";69;1088.5999999999999 eV;""
"Hf";"NNN";72;180.59999999999999 eV;""
"Ta";"NNN";73;180.59999999999999 eV;""
"W";"NNN";74;179.59999999999999 eV;""
"Re";"NNN";75;177.59999999999999 eV;""
"Os";"NNN";76;175.59999999999999 eV;""
"Ir";"NNN";77;172.59999999999999 eV;""
"Pt";"NNN";78;169.59999999999999 eV;""
"Au";"NNN";79;162.59999999999999 eV;""
"Au";"NNO";79;239.59999999999999 eV;""
"Au";"NOO";79;70.599999999999994 eV;""
"Hg";"NNO";80;240.59999999999999 eV;""
"Hg";"NOO";80;80.599999999999994 eV;""
"Tl";"NNO";81;245.59999999999999 eV;""
"Tl";"NOO";81;85.599999999999994 eV;""
"Tl";"NOO";81;87.599999999999994 eV;""
"Pb";"NOO";82;95.599999999999994 eV;""
"Bi";"NOO";83;103.59999999999999 eV;""
"Th";"NOV";90;67.599999999999994 eV;""
"Th";"NOV";90;247.59999999999999 eV;""
"U";"NOV";92;74.599999999999994 eV;""
"U";"NOV";92;282.60000000000002 eV;""
